stylecode,Description,sku,mrp,usd,qty,productname,colour,size,MODEL
SBD002_Sultan,"Made from the best quality material which is durable and very comfortable to wear, quality of workmanship on these is unmatched, a must have for every women",SBD002_Sultan_36,699,9.49,10,Rose Gold Heels for Women,Rose Gold,3,https://www.dropbox.com/s/fv77sci0uzyrfid/IMG_4774.jpg?dl=0
SBD002_Sultan,"Made from the best quality material which is durable and very comfortable to wear, quality of workmanship on these is unmatched, a must have for every women",SBD002_Sultan_37,699,9.49,10,Rose Gold Heels for Women,Rose Gold,4,https://www.dropbox.com/s/fv77sci0uzyrfid/IMG_4774.jpg?dl=0
SBD002_Sultan,"Made from the best quality material which is durable and very comfortable to wear, quality of workmanship on these is unmatched, a must have for every women",SBD002_Sultan_38,699,9.49,10,Rose Gold Heels for Women,Rose Gold,5,https://www.dropbox.com/s/fv77sci0uzyrfid/IMG_4774.jpg?dl=0
SBD002_Sultan,"Made from the best quality material which is durable and very comfortable to wear, quality of workmanship on these is unmatched, a must have for every women",SBD002_Sultan_39,699,9.49,10,Rose Gold Heels for Women,Rose Gold,6,https://www.dropbox.com/s/fv77sci0uzyrfid/IMG_4774.jpg?dl=0
SBD002_Sultan,"Made from the best quality material which is durable and very comfortable to wear, quality of workmanship on these is unmatched, a must have for every women",SBD002_Sultan_40,699,9.49,10,Rose Gold Heels for Women,Rose Gold,7,https://www.dropbox.com/s/fv77sci0uzyrfid/IMG_4774.jpg?dl=0
SBD002_Sultan,"Made from the best quality material which is durable and very comfortable to wear, quality of workmanship on these is unmatched, a must have for every women",SBD002_Sultan_41,699,9.49,10,Rose Gold Heels for Women,Rose Gold,8,https://www.dropbox.com/s/fv77sci0uzyrfid/IMG_4774.jpg?dl=0
SBD1012_Beige,"Made from the best quality material which is durable and very comfortable to wear, quality of workmanship on these is unmatched, a must have for every women",SBD1012_Beige_36,699,9.49,10,Beige Heels for Women,Beige,3,https://www.dropbox.com/s/c3mqpms8408hzf9/IMG_4768.jpg?dl=0
SBD1012_Beige,"Made from the best quality material which is durable and very comfortable to wear, quality of workmanship on these is unmatched, a must have for every women",SBD1012_Beige_37,699,9.49,10,Beige Heels for Women,Beige,4,https://www.dropbox.com/s/c3mqpms8408hzf9/IMG_4768.jpg?dl=0
SBD1012_Beige,"Made from the best quality material which is durable and very comfortable to wear, quality of workmanship on these is unmatched, a must have for every women",SBD1012_Beige_38,699,9.49,10,Beige Heels for Women,Beige,5,https://www.dropbox.com/s/c3mqpms8408hzf9/IMG_4768.jpg?dl=0
SBD1012_Beige,"Made from the best quality material which is durable and very comfortable to wear, quality of workmanship on these is unmatched, a must have for every women",SBD1012_Beige_39,699,9.49,10,Beige Heels for Women,Beige,6,https://www.dropbox.com/s/c3mqpms8408hzf9/IMG_4768.jpg?dl=0
SBD1012_Beige,"Made from the best quality material which is durable and very comfortable to wear, quality of workmanship on these is unmatched, a must have for every women",SBD1012_Beige_40,699,9.49,10,Beige Heels for Women,Beige,7,https://www.dropbox.com/s/c3mqpms8408hzf9/IMG_4768.jpg?dl=0
SBD1012_Beige,"Made from the best quality material which is durable and very comfortable to wear, quality of workmanship on these is unmatched, a must have for every women",SBD1012_Beige_41,699,9.49,10,Beige Heels for Women,Beige,8,https://www.dropbox.com/s/c3mqpms8408hzf9/IMG_4768.jpg?dl=0
